"id","nombre","sinonimos","clase","via","dosis_min_toma","dosis_max_toma","unidad","frecuencia_tipica","dosis_max_dia","periodicidad_especial","alto_riesgo","indicacion_tipica","notas","motivo","fuente_verificacion","buscar_en_vnm","producto_consultado","fecha_consulta","estado_verificacion"
"MED-01","ácido fólico","","vitamina","VO","0,4","5","mg","c/24h","5","","no","embarazo, anemia megaloblástica","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","ácido fólico","","","pendiente"
"MED-02","amlodipino","amlodipina","calcioantagonista","VO","2,5","10","mg","c/24h","10","","no","hipertensión","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","amlodipina","","","pendiente"
"MED-03","amoxicilina","","antibiótico betalactámico","VO","500","1000","mg","c/8h","3000","","no","faringoamigdalitis, otitis, sinusitis","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","amoxicilina","","","pendiente"
"MED-04","amoxicilina-clavulánico","amoxicilina con ácido clavulánico","antibiótico betalactámico","VO","500","875","mg","c/8-12h","3000","","no","infecciones respiratorias y urinarias","dosis expresada en amoxicilina","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","amoxicilina + ácido clavulánico","","","pendiente"
"MED-05","atorvastatina","","estatina","VO","10","80","mg","c/24h","80","","no","dislipidemia","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","atorvastatina","","","pendiente"
"MED-06","ceftriaxona","","antibiótico cefalosporina","IV/IM","1000","2000","mg","c/12-24h","4000","","no","sepsis, neumonía, pielonefritis","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","ceftriaxona","","","pendiente"
"MED-07","enoxaparina","heparina de bajo peso molecular","anticoagulante","SC","40","100","mg","c/12-24h","200","","si","profilaxis y tratamiento de tromboembolismo","profilaxis 40 mg/día; tratamiento 1 mg/kg c/12h","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","enoxaparina","","","pendiente"
"MED-08","ibuprofeno","","AINE","VO","200","600","mg","c/6-8h","2400","","no","dolor, inflamación, fiebre","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","ibuprofeno","","","pendiente"
"MED-09","insulina glargina","insulina basal","insulina de acción prolongada","SC","2","100","UI","c/24h","100","","si","diabetes tipo 1 y tipo 2","dosis individualizada por peso y glucemias; validar coherencia, no rango estricto","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","insulina glargina","","","pendiente"
"MED-10","losartán","","antagonista del receptor de angiotensina II","VO","25","100","mg","c/24h","100","","no","hipertensión","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","losartán","","","pendiente"
"MED-11","metformina","","antidiabético oral","VO","500","1000","mg","c/8-12h","2550","","no","diabetes tipo 2","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","metformina","","","pendiente"
"MED-12","metotrexato","","inmunosupresor","VO/SC","7,5","25","mg","semanal","25","semanal","si","artritis reumatoide, psoriasis","el error clásico es indicarlo diario en vez de semanal","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","metotrexato","","","pendiente"
"MED-13","nitrofurantoína","","antibiótico urinario","VO","50","100","mg","c/6h","400","","no","cistitis","5 a 7 días","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","nitrofurantoína","","","pendiente"
"MED-14","omeprazol","","inhibidor de bomba de protones","VO/IV","20","40","mg","c/24h","80","","no","reflujo, úlcera péptica","hemorragia digestiva: bolo de 80 mg IV y luego infusión","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","omeprazol","","","pendiente"
"MED-15","acenocumarol","Sintrom","anticoagulante oral antagonista de la vitamina K","VO","1","8","mg","c/24h","8","","si","fibrilación auricular, tromboembolismo venoso","ajustar por INR; dosis diaria habitual entre 1 y 4 mg. Es el anticoagulante oral más usado en varios países de Latinoamérica","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","acenocumarol","","","pendiente"
"MED-16","alteplasa","rt-PA","trombolítico","IV","0,9","0,9","mg/kg","dosis única","90","","si","ACV isquémico en ventana terapéutica","máximo 90 mg; 10 % en bolo y el resto en 60 minutos","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","alteplasa","","","pendiente"
"MED-17","cloruro de potasio","KCl; potasio intravenoso","electrolito","VO/IV","20","40","mEq","c/8-12h","120","","si","hipopotasemia","por vía IV siempre diluido; concentrado es alto riesgo","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","cloruro de potasio","","","pendiente"
"MED-18","fentanilo","","opioide","IV/transdérmica","25","100","mcg","según necesidad","","","si","dolor severo, anestesia","parche de 12 a 100 mcg/h cada 72 horas","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","fentanilo","","","pendiente"
"MED-19","heparina sódica","heparina no fraccionada","anticoagulante","IV","5000","5000","UI","bolo y luego infusión","","","si","síndrome coronario agudo, tromboembolismo","bolo 60 a 80 UI/kg; infusión 12 a 18 UI/kg/h","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","heparina sódica","","","pendiente"
"MED-20","morfina","","opioide","IV/SC/VO","2","30","mg","c/4h","","","si","dolor severo","IV 2 a 10 mg; VO 10 a 30 mg; sin techo fijo, se titula","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","morfina","","","pendiente"
"MED-21","tramadol","","opioide débil","VO/IV","50","100","mg","c/6-8h","400","","si","dolor moderado","","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","tramadol","","","pendiente"
"MED-22","warfarina","","anticoagulante oral","VO","1","10","mg","c/24h","15","","si","fibrilación auricular, tromboembolismo","ajustar por INR","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos (anmatvademecum.servicios.pami.org.ar)","warfarina","","","pendiente"
